int_name,markers,1_gen,genome_gen,chr_gen,arm_gen,rec_reg_cs_gen,W1_gen,M1_gen,M2_gen,W2_gen,av_W_gen,av_M_gen,M-W_gen,abs(d-r)_gen,M>W_gen,length_zv_gen,zv_c_abs_gen,zv_c_rel_gen,GC_zv_gen,N_CpG_cl_zv_gen,N_HC_zv_gen,L_HC_zv_gen,L_HC_rel_zv_gen,N_LC_zv_gen,L_LC_zv_gen,L_LC_rel_zv_gen,N_HC_LC_zv_gen,L_HC_LC_zv_gen,L_HC_LC_rel_zv_gen,CTT_p0_zv_gen,CTT_p1_zv_gen,CTT_p1_i_zv_gen,CTT_p2_zv_gen,CTT_p2_i_zv_gen,length_sv_gen,sv_c_abs_gen,sv_c_rel_gen,GC_sv_gen,N_CpG_cl_sv_gen,N_HC_sv_gen,L_HC_sv_gen,L_HC_rel_sv_gen,N_LC_sv_gen,L_LC_sv_gen,L_LC_rel_sv_gen,N_HC_LC_sv_gen,L_HC_LC_sv_gen,L_HC_LC_rel_sv_gen,CTT_p0_sv_gen,CTT_p1_sv_gen,CTT_p1_i_sv_gen,CTT_p2_sv_gen,CTT_p2_i_sv_gen,N_lnc_sv_gen,L_lnc_sv_gen,L_lnc_rel_sv_gen,length_cs_gen,cs_c_abs_gen,cs_c_rel_gen,GC_cs_gen,N_CpG_cl_cs_gen,N_HC_cs_gen,L_HC_cs_gen,L_HC_rel_cs_gen,N_LC_cs_gen,L_LC_cs_gen,L_LC_rel_cs_gen,N_HC_LC_cs_gen,L_HC_LC_cs_gen,L_HC_LC_rel_cs_gen,CTT_p0_cs_gen,CTT_p1_cs_gen,CTT_p1_i_cs_gen,CTT_p2_cs_gen,CTT_p2_i_cs_gen,N_lnc_cs_gen,L_lnc_cs_gen,L_lnc_rel_cs_gen,L_TE_cs_gen,L_TE_rel_cs_gen,MNase_score_gen,N_MRFs_gen,N_MSFs_gen,H3K4me1_rep1_gen,H3K4me1_rep2_gen,H3K4me1_av_gen,H3K4me3_gen,H3K9ac_rep1_gen,H3K9ac_rep2_gen,H3K9ac_av_gen,H3K9me2_rep1_gen,H3K9me2_rep2_gen,H3K9me2_av_gen,H3K27ac_rep1_gen,H3K27ac_rep2_gen,H3K27ac_av_gen,H3K27me3_gen,H3K36me3_rep1_gen,H3K36me3_rep2_gen,H3K36me3_av_gen,DNaseI_rep1_gen,DNaseI_rep2_gen,DNaseI_av_gen,CG_gen,CHG_gen,CHH_gen,length_zv_pp_gen,zv_c_abs_pp_gen,zv_c_rel_pp_gen,GC_zv_pp_gen,L_HC_rel_zv_pp_gen,L_LC_rel_zv_pp_gen,L_HC_LC_rel_zv_pp_gen,sv_c_abs_pp_gen,sv_c_rel_pp_gen,GC_sv_pp_gen,L_HC_rel_sv_pp_gen,L_LC_rel_sv_pp_gen,L_HC_LC_rel_sv_pp_gen,L_lnc_rel_sv_pp_gen,cs_c_abs_pp_gen,cs_c_rel_pp_gen,GC_cs_pp_gen,L_HC_rel_cs_pp_gen,L_LC_rel_cs_pp_gen,L_HC_LC_rel_cs_pp_gen,L_lnc_rel_cs_pp_gen,L_TE_rel_cs_pp_gen,MNase_score_pp_gen,H3K4me1_rep1_pp_gen,H3K4me1_rep2_pp_gen,H3K4me1_av_pp_gen,H3K4me3_pp_gen,H3K9ac_rep1_pp_gen,H3K9ac_rep2_pp_gen,H3K9ac_av_pp_gen,H3K9me2_rep1_pp_gen,H3K9me2_rep2_pp_gen,H3K9me2_av_pp_gen,H3K27ac_rep1_pp_gen,H3K27ac_rep2_pp_gen,H3K27ac_av_pp_gen,H3K27me3_pp_gen,H3K36me3_rep1_pp_gen,H3K36me3_rep2_pp_gen,H3K36me3_av_pp_gen,DNaseI_rep1_pp_gen,DNaseI_rep2_pp_gen,DNaseI_av_pp_gen,CG_pp_gen,CHG_pp_gen,CHH_pp_gen,start_position_mut,middle_position_mut,end_position_mut,interval1_length_mut,interval2_length_mut,r1_hald_mut,r2_hald_mut,model1_ll_mut,model2_ll_mut,model3_ll_mut,model4_ll_mut,lr_1vs2_mut,lr_2vs3_mut,lr_3vs4_mut,p_1vs2_mut,p_2vs3_mut,p_3vs4_mut,c_null_mut,c_free_mut,c_equal_mut,c1_diff_mut,c2_diff_mut,r1_group1_mut,r2_group1_mut,r1_group2_mut,r2_group2_mut,valid_samples_mut,source_file_mut,start_position_wild,middle_position_wild,end_position_wild,interval1_length_wild,interval2_length_wild,r1_hald_wild,r2_hald_wild,model1_ll_wild,model2_ll_wild,model3_ll_wild,model4_ll_wild,lr_1vs2_wild,lr_2vs3_wild,lr_3vs4_wild,p_1vs2_wild,p_2vs3_wild,p_3vs4_wild,c_null_wild,c_free_wild,c_equal_wild,c1_diff_wild,c2_diff_wild,r1_group1_wild,r2_group1_wild,r1_group2_wild,r2_group2_wild,valid_samples_wild,source_file_wild
1A26_1A141,1A35 1A52 1A112 1A35 1A52 1A115 1A35 1A52 1A119 1A35 1A52 1A125 1A35 1A52 1A130 1A35 1A52 1A136 1A35 1A52 1A139 1A35 1A52 1A61 1A35 1A52 1A63 1A35 1A52 1A90 1A35 1A52 1A99 1A35 1A55 1A112 1A35 1A55 1A115 1A35 1A55 1A119 1A35 1A55 1A125 1A35 1A55 1A130 1A35 1A55 1A136 1A35 1A55 1A61 1A35 1A55 1A63 1A35 1A55 1A90 1A35 1A55 1A99 1A35 1A60 1A112 1A35 1A60 1A115 1A35 1A60 1A119 1A35 1A60 1A125 1A35 1A60 1A130 1A35 1A60 1A136 1A35 1A60 1A139 1A35 1A60 1A63 1A35 1A60 1A90 1A35 1A60 1A99 1A35 1A61 1A115 1A35 1A61 1A119 1A35 1A61 1A125 1A35 1A61 1A130 1A35 1A61 1A136 1A35 1A61 1A139 1A35 1A63 1A136 1A35 1A63 1A139 1A35 1A90 1A136 1A35 1A90 1A139 1A35 1A99 1A139 1A41 1A52 1A112 1A41 1A52 1A115 1A41 1A52 1A119 1A41 1A52 1A125 1A41 1A52 1A130 1A41 1A52 1A136 1A41 1A52 1A139 1A41 1A52 1A61 1A41 1A52 1A63 1A41 1A52 1A90 1A41 1A52 1A99 1A41 1A55 1A112 1A41 1A55 1A115 1A41 1A55 1A119 1A41 1A55 1A130 1A41 1A55 1A136 1A41 1A55 1A139 1A41 1A55 1A61 1A41 1A55 1A63 1A41 1A55 1A90 1A41 1A55 1A99 1A41 1A60 1A112 1A41 1A60 1A115 1A41 1A60 1A119 1A41 1A60 1A125 1A41 1A60 1A130 1A41 1A60 1A136 1A41 1A60 1A139 1A41 1A60 1A63 1A41 1A60 1A90 1A41 1A60 1A99 1A41 1A61 1A115 1A41 1A61 1A119 1A41 1A61 1A125 1A41 1A61 1A130 1A41 1A61 1A136 1A41 1A61 1A139 1A41 1A63 1A136 1A41 1A63 1A139 1A41 1A90 1A136 1A41 1A90 1A139 1A41 1A99 1A139 1A45 1A60 1A112 1A45 1A60 1A115 1A45 1A60 1A119 1A45 1A60 1A125 1A45 1A60 1A130 1A45 1A60 1A136 1A45 1A60 1A139 1A45 1A60 1A63 1A45 1A60 1A90 1A45 1A60 1A99 1A45 1A61 1A115 1A45 1A61 1A119 1A45 1A61 1A125 1A45 1A61 1A130 1A45 1A61 1A136 1A45 1A61 1A139 1A45 1A63 1A136 1A45 1A63 1A139 1A45 1A90 1A136 1A45 1A90 1A139 1A45 1A99 1A139 1A52 1A61 1A115 1A52 1A61 1A119 1A52 1A61 1A125 1A52 1A61 1A130 1A52 1A61 1A136 1A52 1A61 1A139 1A52 1A63 1A136 1A52 1A63 1A139 1A52 1A90 1A136 1A52 1A90 1A139 1A52 1A99 1A139 1A55 1A61 1A115 1A55 1A61 1A119 1A55 1A61 1A125 1A55 1A61 1A130 1A55 1A61 1A136 1A55 1A61 1A139 1A55 1A63 1A136 1A55 1A63 1A139 1A55 1A90 1A136 1A55 1A90 1A139 1A55 1A99 1A139 1A60 1A63 1A136 1A60 1A63 1A139 1A60 1A90 1A136 1A60 1A90 1A139 1A60 1A99 1A139,9,A,1A,S,R1,12.25,27.37,21.49,16.02,16.07,24.43,8.36,1.451320966,0,383615279,191807639,0.867393603,0.909173388,54702,1677,1881514,0.012831084,1302,456367,0.003709499,2979,2337881,0.016540583,4147,20665,28457,106356,232393,375299247,187649624,0.88447373,0.909137903,53377,1776,2359114,0.018358792,12013,6268290,0.036832026,13789,8627404,0.055190818,4147,20665,28457,106356,232393,3533,977404,0.006659724,380204138,190102069,0.874467203,0.90879714,53471,1937,2320388,0.017311379,3217,1882723,0.014887282,5154,4203111,0.032198661,4233,20338,28033,104916,229742,3533,977404,0.006673057,345193355,1.71579121,0.024088708,71380,51716,66.10379984,60.87372303,63.48876143,667.4113206,814.4420323,879.8258409,847.1339366,137.0375653,391.9283023,264.4829338,127.7718182,141.8392452,134.8055317,292.504055,739.9533726,966.523209,853.2382908,234.1168348,275.2380977,254.6774663,1.658100446,0.883979896,0.017130115,37.12371624,340125726,1.424759624,0.909173388,0.012831084,0.003709499,0.016540583,337635073,1.335709314,0.909137903,0.018358792,0.036832026,-7.223550351,-11.48462222,332418952,1.414072654,0.90879714,0.017311379,-9.985374317,0.032198661,-11.48819951,1.71579121,0.024088708,6.987489424,60.87372303,6.911664606,667.4113206,814.4420323,879.8258409,847.1339366,8.363408979,10.46762535,9.7497496,8.313836425,141.8392452,8.41872133,9.937163779,11.80953245,966.523209,853.2382908,9.522221852,9.847360599,9.693685898,1.658100446,0.883979896,0.017130115,8.615454545,16.76015152,25.43613636,8.14469697,8.675984848,0.073995641,0.171210784,572.0952841,572.8860224,571.4774958,571.4778152,1.581476622,-2.817053371,0.000638941,0.368892399,1,0.987417921,1,0.702107447,0.693851729,0.698047846,0.690026543,0.073995641,0.171210784,0.071822347,0.184361191,182.0606061,LG1_Sk.txt,5.6,11,17.4,5.4,6.4,0.067388268,0.167946927,587.4248388,587.6343429,584.2577457,584.262886,0.419008231,-6.75319425,0.010280594,0.517794029,1,0.919315621,1,0.163025545,0.347331885,9.58E-12,0.682833002,0.067388268,0.167946927,0.06599162,0.19448324,179,LG10_Sk.txt
5A32_5A74,5A65 5A56 5A40 5A65 5A56 5A47 5A66 5A56 5A40 5A66 5A56 5A47 5A70 5A56 5A40 5A70 5A56 5A47 5A70 5A57 5A40 5A70 5A57 5A47 5A70 5A57 5A55 5A70 5A65 5A40 5A70 5A65 5A47 5A70 5A65 5A55 5A70 5A65 5A56 5A73 5A56 5A40 5A73 5A56 5A47 5A73 5A57 5A40 5A73 5A57 5A47 5A73 5A57 5A55 5A73 5A65 5A40 5A73 5A65 5A47 5A73 5A65 5A55 5A73 5A65 5A56 5A73 5A66 5A40 5A73 5A66 5A47 5A73 5A66 5A55 5A73 5A66 5A56,54,A,5A,L,R3,0,24.1,21.17,3.3,3.3,22.635,19.335,1.491035281,1,357298256,18277992,0.040166638,0.458568822,49748,1473,1735433,0.004857099,993,338474,0.000947315,2466,2073907,0.005804414,4227,19209,26285,97813,214187,317922983,7686054,0.017890875,0.458643807,43894,1225,1698834,0.005343539,9510,4861649,0.015291908,10735,6560483,0.020635447,4227,19209,26285,97813,214187,2727,734568,0.002310522,358724131,13629109,0.029766086,0.458206805,49054,1554,1956308,0.005453517,2415,1358069,0.003785831,3969,3314377,0.009239348,4429,19510,26572,98943,215548,2727,734568,0.002047724,332612376,0.927209371,-0.006083665,69119,45752,38.09006662,34.82847869,36.45927266,396.3605978,453.6702386,480.0627035,466.8664711,40.0552516,254.1088312,147.0820414,61.1183121,80.7445993,70.9314557,93.69978477,438.7637434,555.2711142,497.0174288,133.8194898,146.2419774,140.0307336,0.880451022,0.522573672,0.009518302,19.69408144,152596650,0.568790669,0.458568822,0.004857099,0.000947315,0.005804414,159948911,0.477579692,0.458643807,0.005343539,0.015291908,-3.880744954,-6.070281806,151023756,0.562452016,0.458206805,0.005453517,-5.47132856,0.009239348,-6.080837984,0.927209371,-0.006083665,3.63995353,34.82847869,3.59619582,396.3605978,453.6702386,480.0627035,466.8664711,3.690259791,5.537762645,4.990990536,4.112811528,80.7445993,4.261713998,4.540095892,6.083961098,555.2711142,497.0174288,4.896491801,4.985262629,4.941861924,0.880451022,0.522573672,0.009518302,142.3911538,150.9484615,159.3757692,8.557307692,8.427307692,0.069462969,0.160560554,573.8318075,575.0225348,572.33637,572.3947394,2.381454607,-5.372329471,0.116738666,0.216268918,1,0.828660792,1,0.227674739,0.231502483,0.533092698,0.032737774,0.069462969,0.160560554,0.074409237,0.188581319,182.5769231,LG12_Sk.txt,142.3911538,150.9484615,159.3757692,8.557307692,8.427307692,0.069462969,0.160560554,573.8318075,575.0225348,572.33637,572.3947394,2.381454607,-5.372329471,0.116738666,0.216268918,1,0.828660792,1,0.227674739,0.231502483,0.533092698,0.032737774,0.069462969,0.160560554,0.074409237,0.188581319,182.5769231,LG12_Sk.txt
7A239_7A267,7A264 7A253 7A243,157,A,7A,L,R3,8.34,13.14,12.73,0,8.34,15.7,7.36,1.175407762,2,24809439,696543798,1.842914267,0.906761859,4556,331,339341,0.02700368,208,80805,0.007238367,539,420146,0.034242048,549,2439,3187,9159,18847,27003625,674399135,1.829078357,0.903653541,4667,354,456745,0.033298518,919,546653,0.040089348,1273,1003398,0.073387867,549,2439,3187,9159,18847,431,134379,0.010284777,28303294,682216165,1.820669365,0.906706045,4880,414,475412,0.033501589,613,410550,0.02820869,1027,885962,0.06171028,535,2602,3389,10234,21016,431,134379,0.0100899,20395805,1.43798871,0.131698135,3243,6700,88.90266179,82.02001134,85.46133657,481.1258361,728.6389485,821.1096107,774.8742795,205.3157693,324.72,265.0178847,81.88462943,92.36943878,87.1270341,344.4557046,850.5366667,1090.251689,970.3941777,171.9218357,196.6470238,184.2844298,1.440516896,0.574572901,0.013624065,32.56025446,696543798,1.842914267,0.906761859,0.02700368,0.007238367,0.034242048,674399135,1.829078357,0.903653541,0.033298518,0.040089348,-6.612503127,-10.55501413,682216165,1.820669365,0.906706045,0.033501589,-8.530204619,0.06171028,-10.61202293,1.43798871,0.131698135,7.578096123,82.02001134,7.498136613,481.1258361,728.6389485,821.1096107,774.8742795,9.168948729,9.85589561,9.560169816,7.409153608,92.36943878,7.529587968,10.28364417,12.09442168,1090.251689,970.3941777,8.860955505,9.146767965,9.009451329,1.440516896,0.574572901,0.013624065,126.53,132.5,137.57,5.97,5.07,0.075140449,0.176264045,595.5891483,595.7697065,594.3559122,594.3559345,0.36111639,-2.827588583,4.45E-05,0.547886874,1,0.994675623,1,1.657020581,1.703716187,1.68526715,1.720408248,0.075140449,0.176264045,0.076544944,0.186095506,178,LG11_Sk.txt,126.53,132.5,137.57,5.97,5.07,0.075140449,0.176264045,595.5891483,595.7697065,594.3559122,594.3559345,0.36111639,-2.827588583,4.45E-05,0.547886874,1,0.994675623,1,1.657020581,1.703716187,1.68526715,1.720408248,0.075140449,0.176264045,0.076544944,0.186095506,178,LG11_Sk.txt
7B15_7B53,7B16 7B32 7B48 7B16 7B32 7B52 7B16 7B34 7B48 7B16 7B34 7B52 7B16 7B42 7B48 7B16 7B42 7B52 7B16 7B47 7B52 7B20 7B47 7B52 7B26 7B47 7B52,165,B,7B,S,R2a,26.58,19.79,17.77,15.52,21.05,18.78,-2.27,0.229931045,-2,55635164,479097208,1.557363132,0.923354425,8590,370,404872,0.014425495,272,110735,0.003974141,642,515607,0.018399635,874,3760,4941,16862,34524,54242900,406953782,1.519637541,0.922893887,8527,383,494452,0.017923642,1471,807111,0.029827521,1854,1301563,0.047751163,874,3760,4941,16862,34524,688,191204,0.007009202,55112409,469999691,1.571117135,0.923102539,8497,444,550149,0.019665602,750,461526,0.016656737,1194,1011675,0.03632234,645,3296,4427,16022,33428,688,191204,0.006899175,46361866,1.682872709,-0.006581137,11141,8521,68.21234821,62.14277525,65.17756173,607.237131,763.2730987,819.5446178,791.4088583,137.6206902,269.6896703,203.6551803,103.2173963,113.7947799,108.5060881,201.321328,697.8929663,904.8071759,801.3500711,214.7828432,182.9061723,198.8445077,1.642252455,0.878800896,0.01645207,34.26745404,479097208,1.557363132,0.923354425,0.014425495,0.003974141,0.018399635,406953782,1.519637541,0.922893887,0.017923642,0.029827521,-7.471936465,-11.31023855,469999691,1.571117135,0.923102539,0.019665602,-9.578701383,0.03632234,-11.34172995,1.682872709,-0.006581137,7.056888479,62.14277525,6.9667835,607.237131,763.2730987,819.5446178,791.4088583,8.455762291,9.359697331,9.099370385,7.753229325,113.7947799,7.864912346,9.222362399,11.69694786,904.8071759,801.3500711,9.278163742,9.009363035,9.152200949,1.642252455,0.878800896,0.01645207,173.7266667,180.4055556,187.4866667,6.678888889,7.081111111,0.07688221,0.192243473,586.8951099,587.4994621,591.7596493,591.7643017,1.208704369,8.520374505,0.00930468,0.332707341,0.038181534,0.960487933,1,0.336841711,0.25970982,0.388843771,0.122743327,0.07688221,0.192243473,0.074301761,0.157786885,183,LG5_Sk.txt,56.37647059,64.12647059,72.40294118,7.75,8.276470588,0.070438378,0.19256897,564.0056914,565.0517757,567.8775998,567.9051078,2.092168517,5.651648239,0.05501594,0.277634945,0.144809405,0.896036012,1,0.336387939,0.336944502,0.472127454,0.22708262,0.070438378,0.19256897,0.072796375,0.166385458,180.8529412,LG7_Sk.txt
7B53_7B118,7B54 7B58 7B103 7B54 7B58 7B109 7B54 7B58 7B84 7B54 7B58 7B86 7B54 7B58 7B93 7B54 7B58 7B95 7B54 7B60 7B103 7B54 7B60 7B109 7B54 7B60 7B84 7B54 7B60 7B86 7B54 7B60 7B93 7B54 7B60 7B95 7B54 7B65 7B103 7B54 7B65 7B109 7B54 7B65 7B84 7B54 7B65 7B86 7B54 7B65 7B93 7B54 7B65 7B95 7B54 7B66 7B103 7B54 7B66 7B109 7B54 7B66 7B117 7B54 7B66 7B84 7B54 7B66 7B86 7B54 7B66 7B93 7B54 7B66 7B95 7B54 7B69 7B103 7B54 7B69 7B109 7B54 7B69 7B117 7B54 7B69 7B118 7B54 7B69 7B84 7B54 7B69 7B86 7B54 7B69 7B93 7B54 7B69 7B95 7B54 7B76 7B103 7B54 7B76 7B109 7B54 7B76 7B117 7B54 7B76 7B118 7B54 7B76 7B84 7B54 7B76 7B86 7B54 7B76 7B93 7B54 7B76 7B95 7B54 7B77 7B103 7B54 7B77 7B109 7B54 7B77 7B117 7B54 7B77 7B118 7B54 7B77 7B84 7B54 7B77 7B86 7B54 7B77 7B93 7B54 7B77 7B95 7B54 7B84 7B103 7B54 7B84 7B109 7B54 7B84 7B117 7B54 7B84 7B118 7B54 7B84 7B93 7B54 7B84 7B95 7B54 7B86 7B103 7B54 7B86 7B109 7B54 7B86 7B117 7B54 7B86 7B118 7B54 7B86 7B93 7B54 7B86 7B95 7B54 7B93 7B109 7B54 7B93 7B117 7B54 7B93 7B118 7B58 7B103 7B117 7B58 7B103 7B118 7B58 7B84 7B103 7B58 7B84 7B109 7B58 7B84 7B117 7B58 7B84 7B118 7B58 7B84 7B93 7B58 7B84 7B95 7B58 7B86 7B103 7B58 7B86 7B109 7B58 7B86 7B117 7B58 7B86 7B118 7B58 7B86 7B93 7B58 7B86 7B95 7B58 7B93 7B109 7B58 7B93 7B117 7B58 7B93 7B118 7B60 7B103 7B117 7B60 7B103 7B118 7B60 7B84 7B103 7B60 7B84 7B109 7B60 7B84 7B117 7B60 7B84 7B118 7B60 7B84 7B93 7B60 7B84 7B95 7B60 7B86 7B103 7B60 7B86 7B109 7B60 7B86 7B117 7B60 7B86 7B118 7B60 7B86 7B93 7B60 7B86 7B95 7B60 7B93 7B109 7B60 7B93 7B117 7B60 7B93 7B118 7B60 7B95 7B109 7B60 7B95 7B117 7B60 7B95 7B118 7B65 7B84 7B103 7B65 7B84 7B109 7B65 7B84 7B117 7B65 7B84 7B118 7B65 7B84 7B93 7B65 7B84 7B95 7B65 7B86 7B103 7B65 7B86 7B109 7B65 7B86 7B117 7B65 7B86 7B118 7B65 7B86 7B93 7B65 7B86 7B95 7B65 7B93 7B109 7B65 7B93 7B117 7B65 7B93 7B118 7B65 7B95 7B109 7B65 7B95 7B117 7B65 7B95 7B118 7B66 7B103 7B117 7B66 7B103 7B118 7B66 7B84 7B103 7B66 7B84 7B109 7B66 7B84 7B117 7B66 7B84 7B118 7B66 7B84 7B93 7B66 7B84 7B95 7B66 7B86 7B103 7B66 7B86 7B109 7B66 7B86 7B117 7B66 7B86 7B118 7B66 7B86 7B93 7B66 7B86 7B95 7B66 7B93 7B109 7B66 7B93 7B117 7B66 7B93 7B118 7B66 7B95 7B109 7B66 7B95 7B117 7B66 7B95 7B118 7B69 7B103 7B117 7B69 7B103 7B118 7B69 7B84 7B103 7B69 7B84 7B109 7B69 7B84 7B117 7B69 7B84 7B118 7B69 7B84 7B93 7B69 7B84 7B95 7B69 7B86 7B103 7B69 7B86 7B109 7B69 7B86 7B117 7B69 7B86 7B118 7B69 7B86 7B93 7B69 7B86 7B95 7B69 7B93 7B109 7B69 7B93 7B117 7B69 7B93 7B118 7B69 7B95 7B109 7B69 7B95 7B117 7B69 7B95 7B118 7B76 7B103 7B117 7B76 7B103 7B118 7B76 7B84 7B103 7B76 7B84 7B109 7B76 7B84 7B117 7B76 7B84 7B118 7B76 7B84 7B93 7B76 7B84 7B95 7B76 7B86 7B103 7B76 7B86 7B109 7B76 7B86 7B117 7B76 7B86 7B118 7B76 7B86 7B93 7B76 7B86 7B95 7B76 7B93 7B109 7B76 7B93 7B117 7B76 7B93 7B118 7B76 7B95 7B109 7B76 7B95 7B117 7B76 7B95 7B118 7B77 7B103 7B117 7B77 7B103 7B118 7B77 7B84 7B103 7B77 7B84 7B109 7B77 7B84 7B117 7B77 7B84 7B118 7B77 7B84 7B93 7B77 7B84 7B95 7B77 7B86 7B103 7B77 7B86 7B109 7B77 7B86 7B117 7B77 7B86 7B118 7B77 7B86 7B93 7B77 7B86 7B95 7B77 7B93 7B109 7B77 7B93 7B117 7B77 7B93 7B118 7B77 7B95 7B109 7B77 7B95 7B117 7B77 7B95 7B118 7B84 7B103 7B117 7B84 7B103 7B118 7B84 7B93 7B109 7B84 7B93 7B117 7B84 7B93 7B118 7B84 7B95 7B109 7B84 7B95 7B117 7B84 7B95 7B118 7B86 7B103 7B117 7B86 7B103 7B118 7B86 7B93 7B109 7B86 7B93 7B117 7B86 7B93 7B118 7B86 7B95 7B109 7B86 7B95 7B118,169,B,7B,L,R2b,29.05,36.11,26.69,11.57,20.31,31.4,11.09,0.858582298,2,463232479,231616239,0.549813891,0.925226551,61611,2161,2402305,0.011498016,1486,530273,0.002361889,3647,2932578,0.013859905,8394,32402,41639,142894,294518,446156705,223078353,0.498850738,0.925101423,60400,2041,2706792,0.013164844,11679,6117413,0.027095002,13720,8824205,0.040259846,8394,32402,41639,142894,294518,4870,1324261,0.006085029,461933446,230966723,0.543992056,0.925020953,62201,2282,2850798,0.013589531,3813,2241199,0.009694561,6095,5091997,0.023284091,7340,30752,39978,140615,290619,4870,1324261,0.005967507,419445945,1.802150455,-0.029996549,100874,64551,83.27384945,67.737615,75.50573223,720.9533275,844.0475508,909.8950837,876.9713172,169.8568995,699.4963268,434.6766132,170.2773937,262.8015817,216.5394877,172.9537001,867.6006386,1116.368366,991.9845024,272.5358398,296.5453097,284.5405748,1.730185181,1.000118294,0.01843213,38.13400232,352214907,1.137581338,0.925226551,0.011498016,0.002361889,0.013859905,377330950,0.955159384,0.925101423,0.013164844,0.027095002,-7.812130535,-11.59216846,353258679,1.124904032,0.925020953,0.013589531,-10.65867765,0.023284091,-11.63404888,1.802150455,-0.024979622,7.45796763,67.737615,7.261792485,720.9533275,844.0475508,909.8950837,876.9713172,8.858513264,11.70498838,10.75101333,8.888454728,262.8015817,9.366822759,8.918907771,12.13739103,1116.368366,991.9845024,9.828742995,9.997547557,9.914926043,1.730185181,1.000118294,0.01843213,199.185514,210.3080841,222.0960748,11.12257009,11.78799065,0.081387667,0.196846337,550.5293778,551.7602265,555.537828,555.6370752,2.461697422,7.555202981,0.198494406,0.433022615,0.170689351,0.750359456,1,0.693959942,0.673384816,0.324974801,1.283258663,0.081387667,0.196846337,0.075049127,0.140352538,182.682243,LG5_Sk.txt,34.575,42.82142857,51.77142857,8.246428571,8.95,0.076594838,0.178395899,565.6772949,566.1639302,566.7957759,566.8362466,0.973270708,1.263691315,0.080941337,0.518132952,0.731186836,0.785919788,1,1.357627608,1.32738445,1.296056666,1.616167955,0.076594838,0.178395899,0.071556142,0.172372265,180.6785714,LG7_Sk.txt
